price,drive
6000,rwd
15590,fwd
29990,4wd
11495,fwd
3900,fwd
26995,4wd
42500,4wd
17999,4wd
17977,4wd
6300,fwd
4950,4wd
7995,fwd
10950,fwd
15000,rwd
3995,4wd
35990,rwd
40998,4wd
11532,rwd
36990,4wd
9995,fwd
18999,rwd
25,rwd
19590,rwd
4600,fwd
18500,4wd
10900,rwd
760,4wd
12988,4wd
850,fwd
15590,fwd
19491,4wd
4350,4wd
8795,fwd
17995,4wd
11995,4wd
17500,rwd
19990,fwd
15472,4wd
1,4wd
35995,4wd
8990,4wd
12977,4wd
2900,fwd
13500,4wd
15590,fwd
13400,fwd
38891,4wd
3200,rwd
8590,fwd
5995,rwd
5900,fwd
27698,fwd
12477,fwd
34590,4wd
1999,4wd
43995,4wd
18995,rwd
12500,rwd
9000,4wd
10950,fwd
6998,fwd
14900,rwd
27500,rwd
28900,4wd
33990,4wd
2500,4wd
14500,4wd
32990,rwd
16500,rwd
34590,4wd
29900,4wd
41998,rwd
6950,fwd
24000,rwd
5000,fwd
14850,fwd
14727,fwd
13900,4wd
11275,4wd
20959,4wd
6999,fwd
61900,4wd
4000,fwd
8999,fwd
14995,fwd
10999,4wd
37995,4wd
45000,4wd
5800,fwd
32405,4wd
17999,4wd
3200,rwd
11970,4wd
4300,fwd
12995,4wd
29950,4wd
499,4wd
24590,4wd
6695,fwd
24500,4wd
46990,rwd
17233,4wd
345,fwd
4495,fwd
24990,rwd
14900,fwd
10999,fwd
7188,fwd
2500,4wd
6500,4wd
7700,fwd
57977,4wd
33990,4wd
2800,4wd
23990,4wd
44900,4wd
32995,4wd
46500,4wd
4995,fwd
3900,4wd
5995,fwd
8990,fwd
750,fwd
7995,rwd
1,rwd
13750,4wd
22000,4wd
18499,fwd
5300,fwd
27195,4wd
8199,fwd
55000,4wd
5695,4wd
9800,4wd
14995,fwd
6495,4wd
34999,4wd
30995,rwd
11974,fwd
16495,rwd
32995,fwd
10770,fwd
5750,fwd
7500,rwd
13497,rwd
29995,rwd
3500,fwd
4500,fwd
4995,4wd
18950,4wd
7999,fwd
12799,fwd
35590,rwd
52995,4wd
1,rwd
5500,rwd
34990,4wd
33590,rwd
7100,fwd
12900,fwd
19900,fwd
12900,4wd
32995,4wd
47995,4wd
15990,fwd
30995,fwd
12000,fwd
7650,fwd
33990,4wd
34590,4wd
9995,rwd
4995,4wd
28990,rwd
12900,fwd
10999,fwd
5498,fwd
30932,4wd
8999,fwd
23990,fwd
4444,fwd
42300,4wd
15990,4wd
17998,fwd
3200,fwd
30995,4wd
4997,fwd
41990,fwd
9900,fwd
12000,fwd
32990,4wd
14990,fwd
2200,fwd
541,4wd
14499,fwd
76128,rwd
5999,4wd
33590,4wd
22990,fwd
19998,4wd
18000,fwd
47990,rwd
19941,4wd
8326,fwd
5300,fwd
17990,fwd
17995,4wd
3000,4wd
22900,4wd
150,fwd
20990,fwd
14495,4wd
10640,fwd
2500,4wd
4999,fwd
7500,4wd
14998,fwd
1100,4wd
10990,rwd
24200,4wd
4200,4wd
24800,4wd
14500,rwd
4900,fwd
10465,4wd
12900,fwd
35590,4wd
16995,rwd
7995,fwd
11995,4wd
53550,fwd
16998,4wd
5995,4wd
22590,rwd
17990,fwd
8199,rwd
354,4wd
15795,4wd
6457,rwd
12900,fwd
6950,fwd
14975,4wd
676,4wd
15998,4wd
22590,rwd
19995,fwd
5400,fwd
18590,4wd
6990,fwd
19000,rwd
8995,4wd
10995,fwd
33990,4wd
11995,4wd
17495,rwd
14999,4wd
41449,4wd
9000,4wd
28995,4wd
29944,4wd
8500,fwd
59000,4wd
5995,fwd
17500,4wd
24900,fwd
5600,fwd
26990,rwd
26000,4wd
6000,fwd
26590,rwd
42500,4wd
7000,fwd
19968,fwd
26990,fwd
12590,fwd
8500,rwd
6495,fwd
34590,4wd
10900,fwd
3200,4wd
24990,4wd
2595,fwd
19929,fwd
29367,fwd
34990,4wd
18995,4wd
4900,rwd
100,4wd
18990,4wd
19950,4wd
17999,fwd
36998,4wd
2875,fwd
20998,rwd
15590,fwd
17990,fwd
7500,fwd
16590,fwd
14800,4wd
5000,fwd
8997,4wd
6995,fwd
4900,4wd
28590,fwd
12000,4wd
20995,rwd
30995,fwd
52900,4wd
32590,rwd
12998,fwd
9995,4wd
13500,fwd
5500,fwd
22000,4wd
44900,4wd
27995,4wd
13900,fwd
7900,fwd
16590,fwd
30000,4wd
18500,4wd
23985,4wd
39998,4wd
23087,4wd
10988,rwd
2000,fwd
24990,4wd
10,fwd
22694,fwd
36999,4wd
18300,4wd
46969,4wd
21831,fwd
15999,4wd
9995,4wd
6999,4wd
6200,4wd
34990,4wd
21990,4wd
27460,rwd
19418,fwd
17590,fwd
41999,4wd
19899,4wd
29900,4wd
3995,4wd
3600,fwd
16802,4wd
24886,4wd
44999,4wd
9990,fwd
16590,fwd
3500,4wd
8500,4wd
3960,4wd
44495,4wd
17999,fwd
17988,rwd
8000,4wd
11000,4wd
11988,rwd
40590,4wd
39000,4wd
13500,fwd
6488,fwd
18000,4wd
27590,fwd
20700,4wd
27991,rwd
15000,4wd
11950,fwd
46900,4wd
10500,fwd
3999,fwd
2700,rwd
14999,fwd
35590,rwd
15990,fwd
29900,rwd
41999,4wd
12988,4wd
15950,fwd
52995,4wd
7000,4wd
18500,4wd
10995,rwd
9400,rwd
8395,4wd
24990,4wd
16990,fwd
11995,4wd
25998,4wd
4100,fwd
45425,4wd
37929,4wd
21590,fwd
8555,4wd
35900,4wd
6500,4wd
6900,rwd
27590,fwd
9500,4wd
4300,fwd
23990,fwd
18617,4wd
8995,fwd
4900,fwd
12000,rwd
19992,rwd
42991,4wd
13995,4wd
21590,fwd
20590,fwd
15000,fwd
24590,fwd
24590,rwd
12995,rwd
5500,4wd
10950,fwd
5350,fwd
7199,fwd
36000,4wd
17990,rwd
8595,fwd
49900,fwd
10998,fwd
17398,fwd
18995,4wd
2575,4wd
28990,fwd
13990,fwd
25990,rwd
23990,rwd
26990,rwd
17999,4wd
40000,4wd
14975,4wd
17995,rwd
16590,fwd
56687,4wd
30000,rwd
6495,fwd
31900,4wd
52999,4wd
40452,4wd
21990,fwd
18590,fwd
2000,4wd
25699,rwd
18600,rwd
2500,fwd
7750,fwd
3299,fwd
6995,4wd
6995,4wd
4499,rwd
26990,4wd
4995,fwd
38900,4wd
3300,fwd
17999,fwd
4995,fwd
6999,fwd
6150,fwd
11990,fwd
13480,4wd
39990,4wd
22900,4wd
8500,4wd
1,fwd
47590,4wd
1300,4wd
1,rwd
43500,4wd
16867,fwd
18500,4wd
13950,fwd
35775,4wd
19000,4wd
23947,4wd
6965,fwd
4000,fwd
4500,rwd
39900,4wd
35990,4wd
4200,fwd
11900,fwd
12495,4wd
24990,fwd
12995,fwd
16406,fwd
8900,4wd
12000,rwd
42999,rwd
18990,fwd
6950,4wd
51995,4wd
58995,4wd
7975,fwd
18991,4wd
6399,rwd
32995,4wd
17998,rwd
16987,4wd
44988,4wd
9000,4wd
15499,fwd
31000,rwd
22990,fwd
17919,rwd
59999,4wd
8995,fwd
8800,4wd
18498,4wd
29995,4wd
30990,4wd
39111,fwd
13487,fwd
13940,fwd
10500,rwd
25590,fwd
39000,4wd
8995,fwd
8995,4wd
26900,rwd
49990,4wd
5499,fwd
4999,fwd
84995,4wd
10775,fwd
31590,4wd
